IP	mask	code	opcode	oprand	ChaosDuck	FaultFinder (rehosting)	FaultFinder	Grand Truth	Type	Reason
76c	20000000	c3a03000	movgt	"r3, #0"	o	o	o	o	-	IS -> Attack Possible
76c	80000000	63a03000	movvs	"r3, #0"	o	o	o	o	-	IS -> Attack Possible
770	0	e50b3008	str	"r3, [fp, #-8]"	-	-	-	-	-	Storing loop counter i to stack; since initial value is 0x407ffc80 -> IS -> Attack Possible
770	1	e50b3009	str	"r3, [fp, #-9]"	o	o		o	Initial state	From fp - 8: 0x40 7f fc 80 00 -> fp - 8 becomes 0x40000000 -> Attack Possible
770	2	e50b300a	str	"r3, [fp, #-0xa]"	o	o		o	Initial state	
770	4	e50b300c	str	"r3, [fp, #-0xc]"	o	o		o	Initial state	
770	8	e50b3000	str	"r3, [fp, #-0]"	o	o		o	Initial state	
770	10	e50b3018	str	"r3, [fp, #-0x18]"	o	o		o	Initial state	
770	20	e50b3028	str	"r3, [fp, #-0x28]"	o	o		o	Initial state	
770	40	e50b3048	str	"r3, [fp, #-0x48]"	o	o		o	Initial state	
770	80	e50b3088	str	"r3, [fp, #-0x88]"	o	o		o	Initial state	
770	100	e50b3108	str	"r3, [fp, #-0x108]"	o	o		o	Initial state	
770	200	e50b3208	str	"r3, [fp, #-0x208]"	o	o		o	Initial state	
770	400	e50b3408	str	"r3, [fp, #-0x408]"	o	o		o	Initial state	
770	800	e50b3808	str	"r3, [fp, #-0x808]"	o	o		o	Initial state	
770	2000	e50b1008	str	"r1, [fp, #-8]"	o	o		o	Initial state	"At main execution, r1 = 0x407ffc14 -> Attack Possible"
770	4000	e50b7008	str	"r7, [fp, #-8]"	o	o		o	Initial state	From r7 = 0x409afe54 -> Attack Possible
770	8000	e50bb008	str	"fp, [fp, #-8]"	o	o	o	o	-	
770	20000	e5093008	str	"r3, [sb, #-8]"		o			Write attribute	0x40828cd0 <__pointer_chk_guard>: 0xb357099b; from ro region -> Attack Failed
770	40000	e50f3008	str	"r3, [pc, #-8]"		o			Write attribute	Cannot write to .text -> Attack Failed
770	100000	e51b3008	ldr	"r3, [fp, #-8]"	o	o		o	Initial state	
770	200000	e52b3008	str	"r3, [fp, #-8]!"		o		o	"{FaultFinder: Initial state, Chaos Duck: Revert}"	"After reaching segfault, chaos duck does not log output; due to fp - 8, g_authenticated = 1"
770	400000	e54b3008	strb	"r3, [fp, #-8]"	o	o		o	Initial state	From 0x407ffc00 -> Attack Possible
770	800000	e58b3008	str	"r3, [fp, #8]"	o	o		o	Initial state	
770	1000000	e40b3008	str	"r3, [fp], #-8"		o		o	"{FaultFinder: Initial state, Chaos Duck: Revert}"	"After reaching segfault, chaos duck does not log output; due to fp - 8, g_authenticated = 1"
770	2000000	e70b3008	str	"r3, [fp, -r8]"	o	o		o	Initial state	"fp = 0x407ff97c, r8 = 0x400834 -> 0x403ff148: 0x00000000; accessible"
770	20000000	c50b3008	strgt	"r3, [fp, #-8]"	o	o		o	Initial state	NZCV = 0110; Z = 0 and N = V not satisfied -> not executed
770	80000000	650b3008	strvs	"r3, [fp, #-8]"	o	o		o	Initial state	Since V = 0 -> not executed -> Attack Possible
774	0	ea00000c	b	#0x1038	-	-	-	-	-	Jump to if (i < PIN_SIZE)
774	10	ea00001c	b	#0x1078	o	o	o	o	-	Jump to 7ec; jump to g_userPin loop counter check -> Attack Possible
774	20	ea00002c	b	#0x10b8		o	o	o	"{FaultFinder: Initial state, Chaos Duck: Revert}"	Jump to 82c; segfault occurs after 1st super_secret; 824 reached in 2nd round
778	0	e51b3008	ldr	"r3, [fp, #-8]"	-	-	-	-	-	Load i for g_userPin = i + 1
778	200000	e53b3008	ldr	"r3, [fp, #-8]!"		o		o	"{FaultFinder: Initial state, Chaos Duck: Revert}"	fp = fp - 8 then [fp] = r3; fp change -> Attack Possible; final segfault
778	1000000	e41b3008	ldr	"r3, [fp], #-8"		o		o	"{FaultFinder: Initial state, Chaos Duck: Revert}"	r3 = [fp] = 0x407ff9bc: 0x40854628; then fp = fp - 8; fp change -> Attack Possible; final segfault
77c	0	e6ef3073	uxtb	"r3, r3"	-	-	-	-	-	Zero extension of i; r3 & 0x000000FF
77c	2000000	e4ef3073	strbt	"r3, [pc], #0x73"		o	o		Write attribute	8bit str then pc = pc + 8 + 0x73; write to .text is prohibited -> Attack Failed
784	0	e6ef1073	uxtb	"r1, r3"	-	-	-	-	-	r1 = (r3: i + 1) & 0x000000FF
784	1	e6ef1072	uxtb	"r1, r2"	o	o	o	o	-	"Initially r2 = 0 from g_countermeasure; later changed, but mov r1, r2 sets it back to 0 -> Attack Possible"
784	2	e6ef1071	uxtb	"r1, r1"			o		Initial state	From r1 = 0x407ffb34 -> Attack Failed
784	4	e6ef1077	uxtb	"r1, r7"			o		Initial state	From r7 = 0x409b0e54 -> Attack Failed
784	20	e6ef1053	usat	"r1, #0xf, r3, asr #0x20"	o	o	o	o	-	Unsigned SATurate: r3 >> 0x20 = 0xFF..FF or 0x00..00; & 2^15-1 -> 0 if r3 > 0 else 32767; since r3 > 0 -> 0 -> Attack Possible
784	400	e6ef1473	uxtb	"r1, r3, ror #8"	o	o	o	o	-	r3 = 0x0000000104 -> ror -> 0104 00_0000 & 0xFF -> 0 -> Attack Possible
784	800	e6ef1873	uxtb	"r1, r3, ror #16"	o	o	o	o	-	r3 = 0x0000000104 -> ror -> 00_0104_0000 & 0xFF -> 0 -> Attack Possible
784	1000	e6ef0073	uxtb	"r0, r3"			o		Initial state	From r1 = 0x407ffb34 -> Attack not possible under IS
784	2000	e6ef3073	uxtb	"r3, r3"			o		Initial state	From r1 = 0x407ffb34 -> Attack not possible under IS
784	4000	e6ef5073	uxtb	"r5, r3"			o		Initial state	From r1 = 0x407ffb34 -> Attack not possible under IS
784	8000	e6ef9073	uxtb	"sb, r3"			o		Initial state	From r1 = 0x407ffb34 -> Attack not possible under IS
784	2000000	e4ef1073	strbt	"r1, [pc], #0x73"		o	o		Write attribute	Write to .text is prohibited
784	20000000	c6ef1073	uxtbgt	"r1, r3"			o		Initial state	From r1 = 0x407ffb34 -> Attack not possible under IS
784	80000000	66ef1073	uxtbvs	"r1, r3"			o		Initial state	From r1 = 0x407ffb34 -> Attack not possible under IS
788	0	e59f2084	ldr	"r2, [pc, #0x84]"	-	-	-	-	-	Offset to g_cardPin
788	4	e59f2080	ldr	"r2, [pc, #0x80]"	o	o	o	o	-	r2 = 0x18e6; final r2 = 0x40207a: 0x00000000 -> Attack Possible
788	200000	e5bf2084	ldr	"r2, [pc, #0x84]!"		o	o	o	Success condition	Writing back to pc; pc = pc + 8 + 0x84 = 0x400814 -> super_secret reached
788	400000	e5df2084	ldrb	"r2, [pc, #0x84]"		o	o		Write attribute	"From 0x400814, r2 = 0x14; final r2 = 0x400854; this is not writable"
788	1000000	e49f2084	ldr	"r2, [pc], #0x84"		o	o	o	Success condition	Writing back to pc; pc = pc + 8 + 0x84 = 0x400814 -> super_secret reached
78c	0	e08f2002	add	"r2, pc, r2"	-	-	-	-	-	Base address addition for PIE support; r2 = 0x402054
78c	10000	e08e2002	add	"r2, lr, r2"	o	o	o	o	-	r2 = lr + r2 = 0x402108; [0x402108] = 0
78c	20000	e08d2002	add	"r2, sp, r2"		o			Write attribute	0x40801260: 0xcbff3bcd; no write permission
78c	40000	e08b2002	add	"r2, fp, r2"		o			Write attribute	0x4080126c: 0x85bdb5ee; no write permission
78c	80000	e0872002	add	"r2, r7, r2"	o	o		o	Initial state	r2 = 0x409b1714 <__pthread_keys+412>: 0x00000000; writable
78c	1000000	e18f2002	orr	"r2, pc, r2"		o	o		Write attribute	"r2 = (pc + 8) | 0x18e6 = 0x401fd4, 0x40853e68 : 0xe92d4080; not writable"
794	0	e0823003	add	"r3, r2, r3"	-	-	-	-	-	g_cardPin + i
794	40000	e0863003	add	"r3, r6, r3"		o			Write attribute	r6 + i = 0x401ebc + i; not writable
794	400000	e0c23003	sbc	"r3, r2, r3"	o	o	o	o	-	g_cardPin - i - (1 - C); since NZCV = 1000 -> g_cardPin[-(i+1)] = g_userPin[3-i]; g_userPin overwritten later -> Attack Possible
798	0	e1a02001	mov	"r2, r1"	-	-	-	-	-	r2 = i + 1
798	1	e1a02000	mov	"r2, r0"			o		Initial state	r0 = 1 -> Attack Failed
798	4	e1a02005	mov	"r2, r5"			o		Initial state	r5 = 1 -> Attack Failed
798	8	e1a02009	mov	"r2, sb"			o		Initial state	sb = 0x40828cd8 -> Attack Failed
798	20	e1a02021	lsr	"r2, r1, #0x20"	o	o	o	o	-	r2 = I >> 0x20 = 0 = g_userPin[i] -> Attack Possible
798	40	e1a02041	asr	"r2, r1, #0x20"	o	o	o	o	-	r2 = I >> 0x20 = 0 = g_userPin[i] -> Attack Possible
798	400	e1a02401	lsl	"r2, r1, #8"	o	o	o	o	-	r2 = I >> 0x8 = 0 = g_userPin[i] -> Attack Possible
798	800	e1a02801	lsl	"r2, r1, #0x10"	o	o	o	o	-	r2 = I >> 0x10 = 0 = g_userPin[i] -> Attack Possible
79c	0	e5c32000	strb	"r2, [r3]"	-	-	-	-	-	g_cardPin[i] = i + 1; under IS -> Attack Possible (if zero-initialized and Permanent)
79c	4	e5c32004	strb	"r2, [r3, #4]"	o	o	o	o	-	
79c	8	e5c32008	strb	"r2, [r3, #8]"	o	o	o	o	-	
79c	10	e5c32010	strb	"r2, [r3, #0x10]"	o	o	o	o	-	Unused region
79c	20	e5c32020	strb	"r2, [r3, #0x20]"	o	o	o	o	-	
79c	40	e5c32040	strb	"r2, [r3, #0x40]"	o	o	o	o	-	
79c	80	e5c32080	strb	"r2, [r3, #0x80]"	o	o	o	o	-	
79c	100	e5c32100	strb	"r2, [r3, #0x100]"	o	o	o	o	-	
79c	200	e5c32200	strb	"r2, [r3, #0x200]"	o	o	o	o	-	
79c	400	e5c32400	strb	"r2, [r3, #0x400]"	o	o	o	o	-	
79c	800	e5c32800	strb	"r2, [r3, #0x800]"	o	o	o	o	-	
79c	2000	e5c30000	strb	"r0, [r3]"			o		Initial state	From r0 = 0 -> Attack Failed
79c	4000	e5c36000	strb	"r6, [r3]"			o		Initial state	From r6 = 0x401ebc -> Attack Failed
79c	8000	e5c3a000	strb	"sl, [r3]"	o	o	o	o	-	From sl = 0 -> Attack Possible
79c	40000	e5c72000	strb	"r2, [r7]"		o			Write attribute	r7 = 0x409afe54; no write permission
79c	80000	e5cb2000	strb	"r2, [fp]"	o	o	o	o	-	"fp = 0x407ff9bc; although push{fp} is overwritten, it's recalculated from sp in verifyPIN -> no problem; not used in main -> no problem"
79c	100000	e5d32000	ldrb	"r2, [r3]"	o	o	o	o	-	If zero-initialized -> Attack Possible
79c	4000000	e1c32000	bic	"r2, r3, r0"	o	o	o	o	-	"r2 = r3 AND (NOT r0); same as IS, if zero-initialized -> Attack Possible"
79c	20000000	c5c32000	strbgt	"r2, [r3]"	o	o	o	o	-	"At execution, Z = 0 and N = V not satisfied -> not executed; if zero-initialized -> Attack Possible"
79c	80000000	65c32000	strbvs	"r2, [r3]"	o	o	o	o	-	"V != 1, so same as IS"
7ac	0	e51b3008	ldr	"r3, [fp, #-8]"	-	-	-	-	-	Load loop counter i; if I > PIN_SIZE -> Attack Possible
7ac	8	e51b3000	ldr	"r3, [fp, #-0]"	o	o	o	o	-	0x407ff9ac: 0x407ff9bc
7ac	10	e51b3018	ldr	"r3, [fp, #-0x18]"	o	o		o	Initial state	0x407ff994: 0x40817718
7ac	20000	e5193008	ldr	"r3, [sb, #-8]"	o	o		o	Initial state	"0x40828cd0 <__pointer_chk_guard>: 0xfd47fb0b < 0 -> loop not entered, g_cardPin stays in initial state"
7ac	200000	e53b3008	ldr	"r3, [fp, #-8]!"		o		o	"{FaultFinder: Initial state, Chaos Duck: Revert}"	fp change -> Attack Possible; final segfault (not detected by chaosduck)
7ac	1000000	e41b3008	ldr	"r3, [fp], #-8"		o	o	o	"{FaultFinder: Initial state, Chaos Duck: Revert}"	fp change -> Attack Possible; final segfault (not detected by chaosduck)
7ac	2000000	e71b3008	ldr	"r3, [fp, -r8]"			o		Initial state	
7b0	0	e3530003	cmp	"r3, #3"	-	-	-	-	-	I < PIN_SIZE
7b0	100	e3530103	cmp	"r3, #0xc0000000"	o	o	o	o	-	"0xc0... < 0, so i is larger"
7b0	20000	e3510003	cmp	"r1, #3"	o	o		o	Initial state	"At main execution, r1 = 0x407ffc14 -> Attack Possible"
7b0	40000	e3570003	cmp	"r7, #3"	o	o		o	Initial state	From r7 = 0x409afe54 -> Attack Possible
7b0	80000	e35b0003	cmp	"fp, #3"	o	o	o	o	-	From fp = 0x407ff9ac -> Attack Possible
7b0	200000	e3730003	cmn	"r3, #3"	o	o	o	o	-	"From r3 + 3, since Z = 0 and N = 0 -> Attack Possible"
7b4	0	daffffef	ble	#0xfc4	-	-	-	-	-	Jump to g_cardPin initialization
7b4	10	daffffff	ble	#0x1004	o	o	o	o	-	7b8: instruction skip -> Attack Possible
7b4	20	daffffcf	ble	#0xf44		o	o	o	"{FaultFinder: Initial state, Chaos Duck: Revert}"	"0x6f8: enters countermeasure+0; skipped -> Attack Possible, but ends in segfault"
7b4	100	dafffeef	ble	#0xbc4		o	o	o	"{FaultFinder: Initial state, Chaos Duck: Revert}"	"0x378: dynamic linker loaded, _init() can be run; skipping g_cardPin init -> authenticated = 1; then segfault"
7b4	10000000	caffffef	bgt	#0xfc4	o	o	o	o	-	Condition not met -> g_cardPin remains in initial state
7b4	80000000	5affffef	bpl	#0xfc4	o	o	o	o	-	"Since N = 1, condition not met -> g_cardPin remains in initial state"
7c0	0	ea000008	b	#0x1028	-	-	-	-	-	
7c0	10	ea000018	b	#0x1068		o	o	o	Success condition	Jump to 0x820; inside super_secret_function
7c4	0	e59f204c	ldr	"r2, [pc, #0x4c]"	-	-	-	-	-	Offset of g_userPin
7c4	200000	e5bf204c	ldr	"r2, [pc, #0x4c]!"		o	o	o	Success condition	pc = 0x818; direct entry into super_secret_function
7c4	1000000	e49f204c	ldr	"r2, [pc], #0x4c"		o	o	o	Success condition	pc = 0x818; direct entry into super_secret_function
7d8	0	e5c32000	strb	"r2, [r3]"	-	-	-	-	-	g_userPin[i] = 0
7d8	4	e5c32004	strb	"r2, [r3, #4]"	o	o	o	o	-	g_userPin[i+4] = g_cardPin[i] -> Attack Possible
7.00E+08	0	e51b3008	ldr	"r3, [fp, #-8]"	-	-	-	-	-	Update of loop counter i
7.00E+08	4	e51b300c	ldr	"r3, [fp, #-0xc]"		o	o	o	Revert	"Load source != store destination for loop counter; if loop runs past PIN_SIZE, write to g_cardPin occurs; revert normalizes and exits loop"
7.00E+08	10	e51b3018	ldr	"r3, [fp, #-0x18]"			o		Initial state	"[fp, #-0x18] = 0x40817718 -> Attack Failed"
7.00E+08	20	e51b3028	ldr	"r3, [fp, #-0x28]"		o	o	o	Revert	"[fp, #-0x18] = 0x40817718 -> Attack Failed"
7.00E+08	40	e51b3048	ldr	"r3, [fp, #-0x48]"		o	o	o	Revert	"[fp, #-0x18] = 0x40817718 -> Attack Failed"
7.00E+08	80	e51b3088	ldr	"r3, [fp, #-0x88]"		o	o	o	Revert	"[fp, #-0x18] = 0x40817718 -> Attack Failed"
7.00E+08	100	e51b3108	ldr	"r3, [fp, #-0x108]"		o	o	o	Revert	"[fp, #-0x18] = 0x40817718 -> Attack Failed"
7.00E+08	200	e51b3208	ldr	"r3, [fp, #-0x208]"		o	o	o	Revert	"[fp, #-0x18] = 0x40817718 -> Attack Failed"
7.00E+08	400	e51b3408	ldr	"r3, [fp, #-0x408]"		o	o	o	Revert	"[fp, #-0x18] = 0x40817718 -> Attack Failed"
7.00E+08	800	e51b3808	ldr	"r3, [fp, #-0x808]"		o	o	o	Revert	"[fp, #-0x18] = 0x40817718 -> Attack Failed"
7.00E+08	40000	e51f3008	ldr	"r3, [pc, #-8]"		o	o	o	Revert	
7.00E+08	800000	e59b3008	ldr	"r3, [fp, #8]"		o	o	o	Revert	"[fp+8] = 1, but this value is not updated"
7.00E+08	2000000	e71b3008	ldr	"r3, [fp, -r8]"		o		o	"{FaultFinder: Initial state, Chaos Duck: Revert}"	"[0x407ff9ac - 0x400834] = 0x403ff178: 0x00000000 -> Attack Possible; however, if r8 is considered 0, then [0x407ff9ac] = 0x407ff9bc -> Attack Failed"
7ec	0	e3530003	cmp	"r3, #3"	-	-	-	-	-	"I < PIN_SIZE; g_userPin[i+4] = g_cardPin[i] -> Attack Possible if loop runs more than 8 times; loop continues if LE {Z = 1 or N != V} holds; pre-exec NZCV = 0010 (not LE), post-exec = 1000 (LE), just before exit = 0110 (LE)"
7ec	4	e3530007	cmp	"r3, #7"	o	o	o	o	-	
7ec	8	e353000b	cmp	"r3, #0xb"	o	o	o	o	-	
7ec	10	e3530013	cmp	"r3, #0x13"	o	o	o	o	-	
7ec	20	e3530023	cmp	"r3, #0x23"	o	o	o	o	-	
7ec	40	e3530043	cmp	"r3, #0x43"	o	o	o	o	-	
7ec	80	e3530083	cmp	"r3, #0x83"	o	o	o	o	-	
7ec	200	e3530203	cmp	"r3, #0x30000000"		o	o	o	Revert	No timeout since revert occurs after fixed iterations
7ec	400	e3530403	cmp	"r3, #0x3000000"		o	o	o	Revert	No timeout since revert occurs after fixed iterations
7ec	800	e3530803	cmp	"r3, #0x30000"		o	o	o	Revert	No timeout since revert occurs after fixed iterations
7ec	10000	e3520003	cmp	"r2, #3"		o	o	o	Revert	First iteration: r2 = i + 1 = 4; second: r2 = i = 0; loop continues -> Attack Possible by reaching g_cardPin region
7ec	40000	e3570003	cmp	"r7, #3"			o		Initial state	From r7 = 0x409b0e54 -> Attack Failed
7ec	100000	e3430003	movt	"r0, #0x3003"		o	o	o	Revert	"r0[31:16] = 0x3003; flag maintained, cmp skipped after 2nd iteration -> loop continues"
7ec	2000000	e1530003	cmp	"r3, r3"		o	o	o	Revert	Always Z = 1
7ec	20000000	c3530003	cmpgt	"r3, #3"		o	o	o	Revert	"Post-loop NZCV = 0110; GT {(Z == 0) && (N == V)} not satisfied -> not executed, flag maintained; LE {Z == 1} holds -> loop continues"
7ec	40000000	a3530003	cmpge	"r3, #3"		o	o	o	Revert	"From 2nd iteration, instruction replaced; NZCV = 1000 -> GE (N = V) not satisfied -> not executed, flag maintained; LE holds -> loop continues -> Attack Possible"
7ec	80000000	63530003	cmpvs	"r3, #3"		o	o	o	Revert	"From 2nd iteration or after loop, instruction replaced; NZCV = 1000 or 0110 -> VS {V == 1} not satisfied -> not executed, flag maintained; LE holds -> loop continues"
7f0	0	dafffff3	ble	#0xfd4	-	-	-	-	-	Jump to g_userPin init loop; jump if N = 1 or Z = 1
7f0	10000000	cafffff3	bgt	#0xfd4		o	o	o	Timing	If Z = 0 and N = V -> executed; fault after loop -> Attack Possible
7f0	80000000	5afffff3	bpl	#0xfd4		o	o	o	Timing	If N = 0 -> executed; fault after loop -> Attack Possible
800	0	e49db004	pop	{fp}	-	-	-	-	-	
800	20000	e49fb004	ldr	"fp, [pc], #4"		o	o	o	Success condition	pc = pc + 8 + 4 = 0x80c; direct entry into super_secret_function
804	0	e12fff1e	bx	lr	-	-	-	-	-	"Under IS, directly enters secret -> Attack Possible"
804	1	e12fff1f	bx	pc		o	o	o	Success condition	Effectively a NOP
804	2000000	e32fff1e	msr	"cpsr_fsxc, #30, #30"		o	o	o	Success condition	cpsr = 0x20000010 -> becomes 0x10
804	80000000	612fff1e	bxvs	lr		o	o	o	Success condition	"V != 1, so skipped"
814	0	000018c0	andeq	"r1, r0, r0, asr #17"	-	-	-	-	-	This region contains address data and is not executed -> Attack Failed
814	4	000018c4	andeq	"r1, r0, r4, asr #17"	o				Not inst	
814	8	000018c8	andeq	"r1, r0, r8, asr #17"	o				Not inst	
814	10	000018d0	ldrdeq	"r1, r2, [r0], -r0"	o				Not inst	
814	20	1.80E+01	andeq	"r1, r0, r0, ror #17"	o				Not inst	
814	40	1880	andeq	"r1, r0, r0, lsl #17"	o				Not inst	
814	100	000019c0	andeq	"r1, r0, r0, asr #19"	o				Not inst	
814	200	00001ac0	andeq	"r1, r0, r0, asr #21"	o				Not inst	
814	400	00001cc0	andeq	"r1, r0, r0, asr #25"	o				Not inst	
814	40000000	400018c0	andmi	"r1, r0, r0, asr #17"	o				Not inst	
818	0	1880	cannot	disas	-	-	-	-	-	This region contains address data and is not executed -> Attack Failed
818	4	1884	andeq	"r1, r0, r4, lsl #17"	o				Not inst	
848	0	ebffff74	bl	#0xdd8	-	-	-	-	-	
848	80	ebfffff4	bl	#0xfd8		o	o	o	Success condition	Jump to 0x820; inside super_secret_function; ends after a few iterations due to revert
