IP	mask	code	opcode	oprand	ARCHIE	ARMORY	FaultFinder (rehosting)	FaultFinder	Grand Truth	Type	Reason
8000124	800	bad9	revsh	"r1, r3"	o	o	o	o	o	-	"Reverse the byte order in bottom halfword: a[i] = 0x0100; assignment to cardPin is done with strb, so 0 is assigned, Attack Possible"
8000124	1000	a2d9	adr	"r2, #0x364"	o	o	o	o	o	-	"Equivalent to NOP, Attack Possible"
8000124	8000	32d9	adds	"r2, #0xd9"	o	o	o	o	o	-	"Equivalent to NOP, Attack Possible"
8000126	0	4a12	ldr	"r2, [pc, #0x48]"	-	-	-	-	-	-	"r2 = *g_cardPin; in IS, write occurs to abnormal address; if avoided, Attack Possible"
8000126	1	4a13	ldr	"r2, [pc, #0x4c]"	o		o	o	o	Initial state	"r2 = *g_userPin; overwritten in subsequent operations, Attack Possible"
8000126	2	4a10	ldr	"r2, [pc, #0x40]"	o		o	o	o	Initial state	"r2 = *g_ptc; writes up to g_userPin[0], but later overwritten, Attack Possible"
8000126	40	4a52	ldr	"r2, [pc, #0x148]"	o		o			Write attribute	"r2 = *0x08000270 = 0; write to flash alias occurs, Attack Failed"
8000126	80	4a92	ldr	"r2, [pc, #0x248]"	o		o			Write attribute	"r2 = *0x08000370 = 0; write to flash alias occurs, Attack Failed"
8000126	100	4b12	ldr	"r3, [pc, #0x48]"	o		o			Write attribute	"r2 = 0; r3 = 0--3; write to flash alias occurs, Attack Failed"
8000126	200	4812	ldr	"r0, [pc, #0x48]"	o		o			Write attribute	"r2 = 0; r3 = 0--3; write to flash alias occurs, Attack Failed"
8000126	400	4.00E+12	ldr	"r6, [pc, #0x48]"	o		o			Write attribute	"r2 = 0; r3 = 0--3; write to flash alias occurs, Attack Failed"
8000126	800	4212	tst	"r2, r2"	o		o			Write attribute	"r2 = 0; r3 = 0--3; write to flash alias occurs, Attack Failed"
8000126	1000	5a12	ldrh	"r2, [r2, r0]"	o		o			Write attribute	"r2 = 0, r0 = 0; [0] = 0x20002000 & 0xFFFF = 0x2000; write to flash alias occurs, Attack Failed"
8000126	2000	6a12	ldr	"r2, [r2, #0x20]"	o		o			Write attribute	"On first access, r2 = 0; write to [0x20] occurs, Attack Failed"
8000126	4000	0a12	lsrs	"r2, r2, #8"	o		o			Write attribute	"r2 = r2 >> 8 = 0; write to flash alias occurs, Attack Failed"
8000128	0	687b	ldr	"r3, [r7, #4]"	-	-	-	-	-	-	Load i into r3
8000128	1	687a	ldr	"r2, [r7, #4]"	o		o			Write attribute	"r2 = [0x20001fe4] = 0; r3 contains i++ so next instruction [r2 + r3] = [i++] executes a str, leading to write in flash alias, Attack Failed"
800012a	0	4413	add	"r3, r2"	-	-	-	-	-	-	"Add r3 = r3(i) + r2(g_cardPin); if skipped, write to [r3] occurs"
800012a	1	4412	add	"r2, r2"	o		o			Write attribute	Abnormal r3 causes Attack Failed
800012a	2	4411	add	"r1, r2"	o		o			Write attribute	Abnormal r3 causes Attack Failed
800012a	8	441b	add	"r3, r3"	o		o			Write attribute	Abnormal r3 causes Attack Failed
800012a	10	4403	add	"r3, r0"	o		o			Write attribute	"Depends on r0 at main; access to r0[i]; r0 = 0, Attack Failed"
800012a	20	4433	add	"r3, r6"	o		o			Write attribute	"Depends on r6 at main; access to r6[i]; r6 = 0, Attack Failed"
800012a	40	4453	add	"r3, sl"	o		o			Write attribute	"Depends on sl at main; access to sl[i]; sl = 0, Attack Failed"
800012a	80	4493	add	"fp, r2"	o		o			Write attribute	Abnormal r3 causes Attack Failed
800012a	100	4513	cmp	"r3, r2"	o		o			Write attribute	Abnormal r3 causes Attack Failed
800012a	400	4013	ands	"r3, r2"	o		o			Write attribute	"Access with i < something, Attack Failed"
800012a	800	4c13	ldr	"r4, [pc, #0x4c]"	o		o			Write attribute	Abnormal r3 causes Attack Failed
800012a	2000	6413	str	"r3, [r2, #0x40]"	o		o			Write attribute	"g_cardPin[0x40] is writable, but r3 = 0, Attack Failed"
800012a	8000	c413	stm	"r4!, {r0, r1, r4}"	o		o			Write attribute	Abnormal r3 causes Attack Failed
800012c	0	460a	mov	"r2, r1"	-	-	-	-	-	-	Originally r2 (g_cardPin); here r2 <- ++i; then [r3] = g_cardPin[i] <- r2; not Attack Possible in IS
800012c	1	460b	mov	"r3, r1"	o		o			Write attribute	"[r3] = [++i] = *g_cardPin; no write permission, Attack Failed"
800012c	8	4602	mov	"r2, r0"	o	o	o	o	o	-	"Depends on r0 at main; if r0 = 0, Attack Possible"
800012c	20	462a	mov	"r2, r5"	o	o	o	o	o	-	"Depends on r5 at main; if r5 = 0, Attack Possible"
800012c	40	464a	mov	"r2, sb"	o	o	o	o	o	-	"Depends on sb at main; if sb = 0, Attack Possible"
800012c	4000	060a	lsls	"r2, r1, #0x18"	o	o	o	o	o	-	"r2 = r1 << 24; r1 = ++i; subsequent assignment to g_cardPin uses strb, so 0 is written, Attack Possible"
800012e	0	701a	strb	"r2, [r3]"	-	-	-	-	-	-	g_cardPin[i] = i + 1; Attack Possible in IS
800012e	2	7018	strb	"r0, [r3]"	o	o	o	o	o	-	"Depends on r0 at main; if r0 = 0, Attack Possible"
800012e	4	701e	strb	"r6, [r3]"	o	o	o	o	o	-	"Depends on r6 at main; if r6 = 0, Attack Possible"
800012e	8	7012	strb	"r2, [r2]"	o		o			Write attribute	r2 = ++i causes Attack Failed
800012e	10	700a	strb	"r2, [r1]"	o		o			Write attribute	r1 = ++i causes Attack Failed
800012e	20	703a	strb	"r2, [r7]"	o		o	o	o	Initial state	"Depends on r7 at main; if [r7] is writable, Attack Possible"
800012e	100	711a	strb	"r2, [r3, #4]"	o		o	o	o	Initial state	"Since it's unused RAM, equivalent to NOP, Attack Possible"
800012e	200	721a	strb	"r2, [r3, #8]"	o		o	o	o	Initial state	"Since it's unused RAM, equivalent to NOP, Attack Possible"
800012e	400	741a	strb	"r2, [r3, #0x10]"	o		o	o	o	Initial state	"Since it's unused RAM, equivalent to NOP, Attack Possible"
800012e	800	781a	ldrb	"r2, [r3]"	o		o	o	o	Initial state	"Equivalent to NOP, Attack Possible"
800012e	4000	301a	adds	"r0, #0x1a"	o		o	o	o	Initial state	"Equivalent to NOP, Attack Possible"
800012e	8000	f01a 687b	ands	"r8, sl, #0xfb00000"	o		o	o	o	Unimplemented instruction	"Equivalent to two NOPs; r3 = *g_cardPin[i], which is stored as i; attack succeeds in one go, Attack Possible"
8000136	0	687b	ldr	"r3, [r7, #4]"	-	-	-	-	-	-	Load loop counter into r3; branch target is g_cardPin setup; r3 starts at 0
8000136	8	6873	ldr	"r3, [r6, #4]"	o		o		o	Initial state	"[r6 + 4] > 4 causes Attack Possible; r6 = 0, so [4] = 0x080001a9, Attack Possible"
8000136	10	686b	ldr	"r3, [r5, #4]"	o		o		o	Initial state	"[r5 + 4] > 4 causes Attack Possible; r5 = 0, so [4] = 0x080001a9, Attack Possible"
8000136	20	685b	ldr	"r3, [r3, #4]"	o		o		o	Initial state	"On first iteration, r3 = 0; [4] = 0x080001a9, Attack Possible"
8000136	80	68fb	ldr	"r3, [r7, #0xc]"	o		o	o	o	Initial state	"Depends on stack; 0x687b4a0c (pointer in initialize) exists, Attack Possible"
8000136	100	697b	ldr	"r3, [r7, #0x14]"	o		o	o	o	Initial state	"Depends on stack; at main it's 0, but at this point it holds 0x20001ff0, Attack Possible; always Attack Possible"
8000138	0	2b03	cmp	"r3, #3"	-	-	-	-	-	-	i < 4 check; branch if Z = 1 or N = 1
8000138	400	2f03	cmp	"r7, #3"	o		o	o	o	Initial state	"sp > 4, Attack Possible"
8000138	800	2303	movs	"r3, #3"	o		o	o	o	Initial state	"Since flags are not modified, Attack Possible"
800013a	0	ddf0	ble	#0xfe4	-	-	-	-	-	-	Jump on loop counter comparison; target is g_cardPin setup
800013a	4	ddf4	ble	#0xfec	o	o	o	o	o	-	"Jump to 8000126; scenario where g_cardPin[i] = r1; depends on r1 at main; r1 = 0, Attack Possible"
800013a	8	ddf8	ble	#0xff4	o		o			Write attribute	"Jump to 800012e; store to [r3] occurs, Attack Failed"
800013a	20	ddd0	ble	#0xfa4	o		o	o	o	Initial state	"Jump to 80000de; starts from data before countermeasure (e.g., mov r0, #0), goes through countermeasure, jumps to verifyPin via bx; skips processing, Attack Possible"
800013a	100	dcf0	bgt	#0xfe4	o		o	o	o	Initial state	Branch if N = 0 and Z = 0; Attack Possible
800013a	800	d5f0	bpl	#0xfe4	o		o	o	o	Initial state	"Branch if N = 0; on first i = 0 E, N = 1, so no branch; Attack Possible"
800013a	8000	5df0	ldrb	"r0, [r6, r7]"	o		o	o	o	Initial state	"sp[r6] = sp[0] = 0; if accessible, Attack Possible"
8000140	0	e007	b	#0x1012	-	-	-	-	-	-	Jump to userPin loop counter verification
8000140	10	e017	b	#0x1032	o	o	o	o	o	-	"Jump to 8000172; data area immediately before super_secret, Attack Possible"
800014a	0	701a	strb	"r2, [r3]"	-	-	-	-	-	-	Zeroing g_userPin
800014a	100	711a	strb	"r2, [r3, #4]"	o		o	o	o	Initial state	g_userPin[i + 4] = g_cardPin[i]; Attack Possible
8000152	0	687b	ldr	"r3, [r7, #4]"	-	-	-	-	-	-	"Load loop counter i of g_userPin; before execution, r3 = 0"
8000152	20	685b	ldr	"r3, [r3, #4]"	o		o		o	Initial state	"Since r3 = 0; 0x4: 0x080001a9 00000000; after loop ends, overwritten; if loop runs more than 4 times, g_cardPin is overwritten with 0, Attack Possible"
8000152	40	683b	ldr	"r3, [r7]"	o		o	o	o	Revert	"0x20001fe0: 0x00000000; remains unchanged during loop, so g_cardPin is overwritten, Attack Possible"
8000152	1000	787b	ldrb	"r3, [r7, #1]"	o		o	o	o	Revert	"0x20001fe1: 0x00; unchanged during loop, g_cardPin is overwritten, Attack Possible"
8000154	0	2b03	cmp	"r3, #3"	-	-	-	-	-	-	"g_userPin loop counter check; if operand #imm ≥ 7, enters g_cardPin and overwrites; if within 0x2000, memory is allocated"
8000154	4	2b07	cmp	"r3, #7"	o	o	o	o	o	-	
8000154	8	2b0b	cmp	"r3, #0xb"	o	o	o	o	o	-	
8000154	10	2b13	cmp	"r3, #0x13"	o	o	o	o	o	-	
8000154	20	2b23	cmp	"r3, #0x23"	o	o	o	o	o	-	
8000154	40	2b43	cmp	"r3, #0x43"	o	o	o	o	o	-	
8000154	80	2b83	cmp	"r3, #0x83"	o	o	o	o	o	-	
8000154	100	2a03	cmp	"r2, #3"	o		o	o	o	Revert	"Since r2 = 0, loop continues indefinitely; reverting allows loop exit, Attack Possible"
8000154	2000	0b03	lsrs	"r3, r0, #0xc"	o		o	o	o	Revert	"Since r0 = 0, Z = 1, loop continues indefinitely; reverting allows loop exit, Attack Possible"
8000156	0	ddf4	ble	#0xfec	-	-	-	-	-	-	
8000156	100	dcf4	bgt	#0xfec	o		o	o	o	Revert	"After last loop, if applied, enters g_cardPin and overwrites"
8000156	800	d5f4	bpl	#0xfec	o		o	o	o	Revert	"Branch if N = 0; apply from i = 3, Attack Possible"
8000158	0	bf00	nop		-	-	-	-	-	-	
8000158	1	bf01	itttt	eq		o				Unexplainable	"If-Then x4 (executes next 4 instructions only if Z = 1): until pop becomes NOP; stack corrupted, abnormal behavior follows"
800015a	0	bf00	nop		-	-	-	-	-	-	
800015a	1	bf01	itttt	eq	o	o	o	o	o	-	"Until bx becomes NOP; stack is corrupted, but reaches super_secret"
8000162	0	4770	bx	lr	-	-	-	-	-	-	ret; Attack Possible in IS
8000162	80	47f0	blx	lr		o				Unimplemented instruction	"Save lr = PC + 4; will be overwritten by later bl verifyPin, so meaningless"
8000162	100	4670	mov	"r0, lr"	o	o	o	o	o	-	Equivalent to NOP
8000162	200	4570	cmp	"r0, lr"	o	o	o	o	o	-	Equivalent to NOP
8000162	400	4370	muls	"r0, r6, r0"	o	o	o	o	o	-	Equivalent to NOP
8000162	800	4f70	ldr	"r7, [pc, #0x1c0]"	o	o	o	o	o	-	Access to 0x8000322; Attack Possible
8000162	1000	5770	ldrsb	"r0, [r6, r5]"	o		o		o	Initial state	"[r6 + r5] = [0] = 0x20002000 & 0xFF; since r0 = 0 (no sign extension), Attack Possible"
8000162	2000	6770	str	"r0, [r6, #0x74]"	o		o			Write attribute	"r6 = 0; writing to flash alias occurs, Attack Failed"
8000162	4000	770	lsls	"r0, r6, #0x1d"	o	o	o	o	o	-	Equivalent to NOP
8000162	8000	c770	stm	"r7!, {r4, r5, r6}"	o	o	o	o	o	-	"Stack operations occur on SP, but Attack Possible"
8000170	0	20000008	movs	"r0, #0"	-	-	-	-	-	-	"Located in data area, not executed in practice, Attack Failed"
